Designator,Footprint,Quantity,Value,LCSC Part #
J1,D-Sub 25 Platine Buchse,1,DB25_Plug,
J2,22P 0.5mm Vertical FPC FFC Flat Cable Connector,1,Conn_01x22,
J3,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
